courseid,testid,stuid,Tflist,knowledgeList,score,totalScore
17600,50080,5055,"1,0,1,1,0,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",14,20
17600,50080,5056,"1,0,0,0,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",14,20
17600,50081,5072,"1,1,1,0,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",18,20
17600,50080,5080,"1,1,1,0,0,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",14,20
17600,50080,5074,"1,0,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50086,5113,"0,1,1,1,0,0,0,1,0,0","3_3_1,3_3_7,3_3_5,3_3_3,3_2_3,3_7_2,3_4_1,3_4_2,3_1_3,4_2_4,4_2_5",8,20
17600,50080,5090,"0,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5098,"1,0,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50086,5076,"1,1,1,1,1,0,1,1,1,1","3_3_1,3_3_7,3_3_5,3_3_3,3_2_3,3_7_2,3_4_1,3_4_2,3_1_3,4_2_4,4_2_5",18,20
17600,50080,5065,"1,1,1,1,0,1,0,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
